voter_name,canonical_id,role,position
Geoff Andrew,F:84fa7c2219d2,critic,4
Geoff Andrew,F:bf6387f2c8ae,critic,10
Geoff Andrew,F:9f96298e4d23,critic,9
Geoff Andrew,F:97b42f962368,critic,7
Geoff Andrew,F:ece757e25684,critic,3
Geoff Andrew,F:da2081de6713,critic,2
Geoff Andrew,F:325075869126,critic,8
Geoff Andrew,F:96b629ea4177,critic,1
Mallory Andrews,F:3dc11a61f1ca,critic,5
Mallory Andrews,F:cb689f3e2a97,critic,8
Mallory Andrews,F:727b4a394724,critic,4
Mallory Andrews,F:83c734e30238,critic,10
Mallory Andrews,F:653f45346bcc,critic,9
Mallory Andrews,F:d82151d9c18c,critic,3
Mallory Andrews,F:3870d5428078,critic,2
Mallory Andrews,F:75046ffb9b38,critic,7
Mallory Andrews,F:477977925947,critic,6
Mallory Andrews,F:a5770030b496,critic,1
Nigel Andrews,F:b5a06746734d,critic,10
Nigel Andrews,F:bf6387f2c8ae,critic,9
Nigel Andrews,F:fbac63dcd9cf,critic,6
Nigel Andrews,F:a6b2d4ef6e92,critic,3
Nigel Andrews,F:f71879711b8f,critic,7
Nigel Andrews,F:83d479d3ae29,critic,2
Nigel Andrews,F:146ec1241d81,critic,5
Nigel Andrews,F:7c9c923f35c0,critic,4
Nigel Andrews,F:4434c6705bd6,critic,8
Nigel Andrews,F:dbe689086831,critic,1
Javier Angulo,F:6b927993e1e1,critic,4
Javier Angulo,F:bf6387f2c8ae,critic,10
Javier Angulo,F:176166e412b4,critic,5
Javier Angulo,F:83ebc8b43c9d,critic,7
